Energy,flux_ν_th,flux_ν_MC
0.08979130634394267,0.005189130348285297,0.006856721062557169
0.269373919031828,0.04577255197000467,0.04738773934465185
0.44895653171971334,0.12458941180513572,0.12294627220790309
0.6285391444075986,0.2392347942403893,0.21879519561411764
0.808121757095484,0.3873531948545004,0.39885091507812714
0.9877043697833693,0.5666385442782068,0.5775097281128243
1.1672869824712546,0.7748342320642289,0.7482157410519756
1.34686959515914,1.0097331305679809,1.0507921934335682
1.5264522078470253,1.2691776188385762,1.3294798637209424
1.7060348205349107,1.5510596065197808,1.6403634260786193
1.885617433222796,1.8533205577618097,1.7917163139156966
2.0652000459106814,2.1739515151431092,2.0863200727005338
2.2447826585985666,2.5109931236032024,2.5496564579299177
2.424365271286452,2.86253565438464,2.6428088325666415
2.603947883974337,3.226719028986552,3.051239007853955
2.7835304966622227,3.6017328431279836,3.642118187828289
2.963113109350108,3.9858163907217308,3.86688229499237
3.142695722037993,4.377258687858567,4.454802130485011
3.3222783347258784,4.774398496801538,4.544176532009841
3.501860947413764,5.1756243499922405,5.237221664755119
3.6814435601016493,5.579374574064392,5.752289596309618
3.8610261727895345,5.984137313870861,5.947716135154659
4.04060878547742,6.38845055651916,6.559896225419904
4.220191398165305,6.790902155420376,6.650381066490993
4.39977401085319,7.19012985434169,7.149250080388314
4.579356623541076,7.58482131147788,7.2358147942358615
4.7589392362289615,7.97371412352918,7.5678629279081795
4.938521848916847,8.355595849786859,8.87392651705087
5.118104461604732,8.729304036234147,8.703092365821687
5.297687074292616,9.093726239654275,8.974854939137648
5.477269686980503,9.44780005175299,9.550404386784283
5.656852299668388,9.790513123284514,9.797268299772064
5.836434912356274,10.120903188194958,10.537382003477989
6.016017525044158,10.438058087772681,10.605060589008735
6.195600137732044,10.741115794809888,10.81693312076445
6.3751827504199285,11.029264437774588,11.398414794516688
6.5547653631078155,11.301742324992173,11.082296698815602
6.734347975795699,11.557837968842255,10.8718780158768
6.913930588483586,11.796890109956413,12.59324198626802
7.09351320117147,12.018287741435856,12.163852392578809
7.273095813859356,12.221470133073948,12.846566762493106
7.452678426547241,12.405926855596743,12.407459089758648
7.632261039235127,12.571197804895922,13.495605649390889
7.811843651923011,12.716873226300923,13.18514731683275
7.991426264610897,12.842593738832637,11.544740725055513
8.171008877298782,12.948050359486233,13.21586139135263
8.350591489986668,13.03298452751757,12.938561461095645
8.530174102674552,13.097188128739857,12.93749660010019
8.709756715362438,13.140503519837774,13.331357774605452
8.889339328050323,13.16282355267839,12.773872595456698
9.06892194073821,13.164091598646321,14.19779416963264
9.248504553426095,13.144301572981059,13.760761148847902
9.428087166113981,13.103497959135332,12.585542642289516
9.607669778801865,13.041775833121381,12.608970202864924
9.787252391489751,12.959280887896343,13.207852726044166
9.966835004177636,12.856209457743486,13.274263193084874
10.146417616865522,12.732808542657388,13.09200727517413
10.326000229553406,12.589375832753772,12.556655239280744
10.505582842241292,12.42625973268053,12.411107309184708
10.685165454929177,12.243859386050802,11.309523272375255
10.864748067617063,12.042624699860086,10.962632451714702
11.044330680304947,11.82305636895556,12.541857681377419
11.223913292992833,11.585705900474267,11.362659016872225
11.403495905680717,11.331175638318681,10.082557168877234
11.583078518368604,11.060118787632844,10.24023940179974
11.762661131056488,10.773239439289037,10.748919917045765
11.942243743744376,10.471292594393756,10.898271919514398
12.121826356432258,10.155084188786969,9.952101353196266
12.301408969120146,9.825471117569355,9.62346687866499
12.48099158180803,9.483361259629731,9.45387601501588
12.660574194495917,9.129713502195303,8.86552756592057
12.840156807183801,8.765537765366556,8.849501353365374
13.019739419871687,8.391895026695726,8.16021871058331
13.199322032559571,8.009897345758448,8.273546181935833
13.378904645247458,7.6207078887294415,7.105001536149045
13.558487257935342,7.225540952984163,6.955765223530098
13.738069870623228,6.825661991701006,6.450690243379932
13.917652483311112,6.422387638485501,6.472653601922952
14.097235095998998,6.0170857319795275,5.936029586454205
14.276817708686883,5.6111753405211795,5.621893199374487
14.456400321374769,5.206126786774061,5.253171348750779
14.635982934062653,4.803461672401498,5.197697037117722
14.815565546750541,4.404752902719767,4.444627037529825
14.995148159438424,4.011624711391856,3.9486886520538853
15.174730772126312,3.625752685116541,3.719924519737648
15.354313384814196,3.248863788323334,3.2672433954408113
15.533895997502082,2.8827363878904793,3.1019130522187273
15.713478610189966,2.5292002778655984,2.480918838602491
15.893061222877853,2.1901367042051927,2.0978587229482155
16.072643835565735,1.8674783895070521,1.7088108302920502
16.252226448253623,1.5632095577808633,1.4982206986139825
16.431809060941507,1.2793659592025501,1.273812761340485
16.611391673629395,1.0180348948964035,1.016275923981013
16.79097428631728,0.7813552417216154,0.7984621300579674
16.970556899005164,0.5715174770700501,0.5826047378003191
17.150139511693048,0.3907637036777517,0.35738557915530433
17.329722124380936,0.24138767444107553,0.237464027720424
17.50930473706882,0.12573481724991037,0.12880469141018644
17.688887349756705,0.04620225982825578,0.05196940726920215
17.86846996244459,0.005238854587269566,0.006540698378839235
